Batman vs Superman	batman vs superman 
He was outed as a spy by the police who were investigating a break in at his home .	वह तो spy the और police के लिए investigate कर रही थी , जो उनका घर break होगया था 
Definitely see it if you get a chance .	जरूर देख ना अगर आपको chance मिला तो 
Dramas tend to kind of bore me usually , with many note-worthy exceptions . I like Comedies mostly or fantasy , Sci-fi . I will check it out though , all in all i just love movies !	वह drama तो बुरे लगने लगे उसमें ज्यादा note worthy exceptions ता . मुझे comedies और fantasy पसंद आया especially sci-fi . में check कर लूंगा , overall मुझे movies पसंद हैं 
Sounds like an interesting fellow , will definetly give it a watch .	लगता हैं interest से रहेगा , जरूर में watch करूँगा 
It is really more of an espionage movie . It is pretty exciting . I guess there is some drama with his experiences in boarding school and studying with Morcom , his mentor .	हां यार ये तो espionage movie निकला . bahut excite हैं उसमें . मुझे लगता हैं कि उसमें कुछ drama अपनी boarding school का experiences में से लिखा होगा और moron में पड़ने से लिखा होगा जो उसका mentor था 
I think you will enjoy it .	मुझे लगा कि तो enjoy करेगा 
Morton Tyldum is a great director .	morton tyldum बहुत बढ़िया director हैं 
Andrew grant and that rag science news never gets it right , if he liked it i will probably hate it .	वह andrew grant और उसका राग science का news कभी भी right नहीं होता , अगर वह उसे पसंद आया तो मैं use हटे करूँगा 
The hollywood reporter seems to be as fond of Cumberpatch as i am .	वह hollywood reporter तो cumberpatch निकला , जैसे मैं हूँ . 
It is kind of technical . It goes pretty in depth about his machine to break the code . He has some breakthroughs when he realizes he can program it with words he already knows . You will probably enjoy that .	यह technical type का है , code break करने के लिए machine में बहुत दीप जान पड़ता है . use एक breakthrough मिलता है जब use यह realize होता है कि वह उसे पहले से मालूम words से वह इस program कर सकता है . तुम enjoy करोगे इस . 
Cumberbach does a great job acting .	kamal की acting की है Cumberbach ने . 
These storys based on true stories tend to always add so much stuff to keep it interesting that it kinda distorts history in my opinion .	मेरी opinion में true stories पे based यह story हमेशा history को distort करती हैं उसे interesting बनाने के लिए . 
The bit about getting married to Keira Knightley might be annoying for you if you are not partial to her acting . I might warn you about all that .	Keira Knightley से marriage को लेकर जो वाक्य है , वह थोड़ा annoying है अगर आप उसके acting को लेके थोड़ी favorable नहीं है तो . तुम्हें इसके बारे में वरन कर रहा हूँ . 
It is interesting since the movie is based on a play based on a book based on his life . I see your point there .	interesting बात यह है कि यह movie उस play पर based है , जो उसके life पर लिखी book पर बसे हैं . तुम्हारे point देख सकता हूँ मैं . 
I would probably enjoy the technical aspects of the film , the good acting , and even the half made up story !	मैं probably film के technical aspect को enjoy करूँ , बढ़िया acting , और half cooked story . 
I think also where it is a movie about a mathematician , it kind of helps to add in some plot elements . I think this is unusual though as his life was so interesting .	I think also यह movie एक mathematician के बारे में है , plot में थोड़ी elements डालना helpful है . पर मुझे यह unusual लगा क्योंकि उसके life तो वैसे ही इतनी interesting है . 
There is quite a bit of espionage involved as well . I suppose I am not spoiling it since it is history , but there is some Russian collusion involved .	इसमें espionage का angle भी involve हैं . I suppose मैं कुछ spoil नहीं कर रहा हूँ क्योंकि यह history है , but कुछ Russian secret भी involved है . 
If he marries Keira knightly i may be shouting at my T . V .	अगर वह Keira knightly से marriage करेगा तो मैं शायद टी . vc . पर ही shout करने लागू . 
Big drama when Turing confronts the russians .	बड़ा drama हुआ जब Turning Russians को confront करता है . 
Yeah you might have to fast forward through the lurid romance . It is not so bad though .	हां , आपको फुर्तीला romaans के माध्यम से आगे बढ़ना होगा . या हालांकि इतना बुरा नहीं है . 
She is trite , absolutely , but the director does make it work here .	वह बिल्कुल trait है , लेकिन nirdeshak इसे यहाँ काम करते हैं . 
also , turns out he is gay !	यह भी पता चला कि वह समलैंगिक है ! 
so she gets what she deserves .	इसलिए उसे वह मिलता है जिसका वह हकदार है . 
you might actualy like it .	आप इसे पसंद कर सकते हैं . 
I didn't really get that part , but who can understand the gays ?	मुझे वास्तव में वह हिस्सा नहीं मिला , लेकिन समलैंगिकों को कौन समझ सकता है ? 
Well , that kinda of makes it more inviting to me , Keira Nightly must be sad to find that out !	खैर , यह थोड़ी इसे और अधिक मेरे लिए आमंत्रित करता है , केर नैटली को यह पता लगाने के लिए दुखी होना चाहिए ! 
yeah I think she was pretty upset . Like I said I didn't really understand all of that . I was mostly in it for the math . What an interesting , fascinating story .	हाँ , मुझे लगता है कि वह बहुत परेशान थे . जैसा मैंने कहा कि मैं वास्तव में उस सब को समझ नहीं पाया हूँ . में ज्यादातर गणित के लिए इसमें था . क्या दिलचस्प , आकर्षक कहानी है . 
I think Turing was gay for his mentor or something , but he dies .	मुझे लगता है कि touring अपने गुरु या कुछ और के लिए समलैंगिक था , लेकिन वह मर जाता है . 
Sounds a bit like Beautiful mind that was a great movie , too !	सुंदर दिमाग की तरह लगता है कि एक महान films थी , भी ! 
Tuberculosis .	Tuberculosis . 
Yeah I did love Beautiful mind . I read that that guy actually was working for the government .	हाँ Beautiful mind अच्छा लगा.मैंने पड़ा है वह government में काम करता था . 
Talk about changing the story !	story बदलने के बारे में बताओ ! 
Turing's story is pretty sad . He got bullied a lot at boarding school . Seems to have affected him a lot . Too bad he wasn't able to find love . Maybe he should have gone for somebody besides Kiera Knightley !	Turing की story बहुत sad है . उसको boarding school में बहुत बुल्ले किया गया.लगता है वह बहुत affect हुए . Too bad use love नहीं मिला . Maybe use कीड़ा Knightley के अलावा किसी और को जाना चाहिए था ! 
How come you dislike her so much ?	कैसे तुम उसे इतना dislike कर सकते हो ? 
Is it because you guys used to date ?	क्या इसलिए कि तुम लोग dating करते थे ? 
Mostly just for hogging that driftwood in Titanic ;)	Mostly driftwood के hogging के लिए Titanic में :) 
Oh yeah . I have never seen that one .	Oh हां . मैंने कभी नहीं देखा था उसको . 
I find her Wiry , trite , and egotistical . I only enjoy those qualities in myself .	मुझे वह Wiry , trite और egotistical लागा . मुझे सिर्फ who qualities अपने में लगता है . 
I know there is that song by celine dion .	मुझे मालूम है वो song celine डायोन से है . 
haha that is funny . I figured that but didn't want to say .	है बहुत ही मजेदार है . हम को मालूम था कि बात करना नहीं चाहते 
She is kind of a walking plattitude . Kind of like Reese Witherspoon , but more indiana less texas	वह लड़की चलने वाली साधारण है . Reese Witherspoon की तरह , लेकिन ज्यादा indiana और कम Texas 
or something	यह कुछ कुछ 
Oh , its ok . Im not blind . However after looking at Keira Knightley for 2 hours i might be .	अरे ठीक है . हम अंधा नहीं है . लेकिन दो घंटे तक हम Keira Knightly को देखने के बद , हो सकता है 
Still the story sounds like one of importance that should be told , ill have to tune in .	फिर भी इस कहानी ऐसा महत्व लगता है कि सभी को बताना चाहिए . हमको सुनना पड़ेगा . 
anyways she didn't ruin the movie . If anything , Turing's life ruins the movie . It's just sad he gets bullied and takes refuge in gay love . He could have just worked out , made some friends , and been happy . It is a very important story . Reminds me of the life of Charles Darwin , or Plato .	Vise भी उसने philam को बर्बाद नहीं किया . turning का जीवन film को बर्बाद कर देते हैं . बहुत दुख की बात है कि वह टंग आगया और सम लैगिक प्रेम का शरण लेते हैं . वो काम कर सकता था , कुछ दोस्त बन सकता था , और खुश रह सकता था . यह तो एक बहुत ही महत्पूर्ण कहानी है . Charles Darwin या Plato का याद दिलाते हैं . 
oh , I really like Reese , Not sure what that says about me .	अररे , मुझे वस्तुमय रीझ पसंद है , लेकिन वह मेरे बारे में क्या बोलते हैं मालूम नहीं है 
That is funny but you don't like Kiera .	यह मजाक की बात है लेकिन आपको कीड़ा पसंद नहीं है . 
I thought Cumberbach made a great Turing , but it would have been funnier if they cast eminem .	मुझे लगा कि Cumberbakh ने एक महान touring बनाया है अगर वह eminem डालते हैं तो और ही मजेदार होता . 
Fitness is very important . Im a big fan of Darwin so that makes me interested a bit more in the story .	Fitness बहुत जरूरी है . में Darwin का बड़ा प्रशंसक है जिसे मुझे कहानी में और दिलचस्पी हुई . 
Well , Darwin had a rough time on the beagle . He was the captain's special steward , which was a demanding job , if you know what I mean .	कुंआ , daarvin को बीगल पर एक कठिन समय था . वह captain के खास steward था , जो एक मांगलिक कार्य था , यदि तुम्हें मालूम है कि मेरा क्या मतलब है . 
All of the Hollywood rags seemed to speak highly of it .	सभी holeevud रेग इसके बारे में बहुत ज्यादा बोलती थी 
His theory of fitness was basically an analogy for his relationship to the captain and his station in life , and his feeling of evolution to a higher station in his own life . He was certainly an interesting fellow .	phitanes का उनका सिद्धांत मूल रूप से captain और जीवन में उनके steshan के लिए उनके रिश्ते का एक सादृश्य था , और अपने जीवन में एक उच्च steshan के लिए विकास की उसकी भावना . वह निश्चित रूप से एक दिलचस्प साथी था . 
I seriously loved this Turing movie . You have to see it ! ! !	मुझे यह touring film बहुत पसंद आई . आपको इसे देखना ही होगा ! ! ! 
I dont usually take anything the Hollywood reporter says to heart though .	मैं आमतौर पर hollywood riportar को दिल से कहता है कि कुछ भी मत लो . 
No they have their own problems .	नहीं , उनकी अपनी समस्याएं नहीं हैं . 
And what do they know about science ?	और वे विज्ञान के बारे में क्या जानते हैं ? 
Not since they gave The Big Lebowski such awful reviews .	नहीं जब से उन्होंने द बिग lebovskee को ऐसी भयानक समीक्षा दी . 
Turing is an important guy . I'd rather see a movie about Kurt Godel or Giordano Bruno .	touring एक महत्वपूर्ण लड़का है . बल्कि में kart गोडल या जियोरदानों broono के बारे में एक film देखूंगा . 
Or maybe a serious horror / drama about Galileo .	यह शायद गैलीलियों के बारे में एक गंभीर होरर / naatak . 
I think the Big Lebowski was a great film I didn't realize it had a poor critical reception .	मेरे विचार से Big Lebowski great film थी , मुझे नहीं मालूम था कि इस poor critical reception मिला 
I actually think I might write a script about the life of Galileo	मैं actually सोचता हूँ कि मुझे Galileo की life के बारे में एक script लिखना चाहिए 
Your right , because Scientifically The Big Lebowski is the best movie ever made . yet , magazines like empire and Variety pee'd on its rug .	तुम right हो , क्योंकि scientifically big Lebowski आज तक बनाई गई best film है . इसके बावजूद , Empire और Variety जैसी magazines इसकी अपमान जनक आलोचना करती है . 
people would love that it would make them feel smart .	people पसंद करेंगे कि यह उन्हें smart feel कराएगा . 
actually , that makes sense .	actually , यह मायने रखता है 
I am actually ordained as a Dudist Priest .	मैं actually dot Priest के रूप में जाना जाता हूँ 
You can do it online for free , and then you can legally marry people .	तुम इसे online free में कर सकते हो , और उसके बाद तुम legally किसी से भी marriage कर सकते हो 
Go forth and Abide my son .	age बड़ो और मेरी बेटी को abide करो 
Indeed . I shall Abide .	Indeed . me पहलूंगा 
oh i know , im also a member dude .	oh , मैं जानता हूँ , मैं भी एक member हूँ दौड़े 
Oh nice . I knew you were coolio foolio .	ओह अच्छा . मुझे पता था कि तुम कूलियों मूर्ख थे . 
there is a fun facebook page too , dudeism , check it out !	एक मजेदार phesabuk पेज भी है , यार , यह जांच ! 
What is up with this study though ? I feel we are being watched . Do you think we will be in a movie with Benjamin Cumberbach ?	हालांकि इस अध्ययन के साथ क्या हो रहा है ? मुझे लगता है कि हमें देखा जा रहा है . क्या आपको लगता है कि हम benjaamin कंबरबैच के साथ एक film में होंगे ? 
I will for sure check it out on the myface .	मैं निश्चित रूप से इसे म्याफाचय पर देखूँगा . 
I think there should be parallel networks called myface and spacebook .	मुझे लगता है कि म्याफाचय और स्पचाईबुक नामक समानांतर netavark होना चाहिए . 
haha i use that term Myface all the time .	हा कि मैं हर समय म्याफाचय शब्द का उपयोग करता हूँ . 
great minds think alike .	bade man वाले ऐसा सोचते हैं . 
I once toyed with the idea of opening a coffee shop called dunkin buckstar's	मैंने एक बार ढंकिन बकेसतार नामक एक कोपी की दुकान खोलने के विचार के साथ खिलवाड़ किया 
but yes , they say iron knows iron	लेकिन हां , वे कहते हैं कि लोहा लोहे को जानता है 
It said there would be three pages , yet we seem to be done .	इसने कहा कि तीन पेज होंगे , फिर भी हम ऐसा करते प्रतीत होते हैं . 
anyways though , it is pretty exciting to see Turing recalibrate that machine . You will enjoy that .	वैसे भी , उस मशीन को touring reekailibret देखना काफी रोमांचक है . आपको मजा आएगा . 
did you leave ?	आपने छोड़ दिया ? 
Hi	HI / नमस्ते 
How are you ?	क्या हाल है ? 
good you	बढ़िया , तुम ? 
Good .	बढ़िया . 
Did you see a movie lately ?	क्या आपने कोई FILM देखी RECENTLY ? 
Never seen it	कभी नहीं देखा . 
was it animated ) sp )	क्या वह ANIMATED था ? 
no -	नहीं 
I havent seen a movie	मैं ने नहीं देखी 
did you see the first one ?	पहले देखी है क्या तुमने ? 
I think this is the second one	मुझे लगता है ये दूसरी है 
Sorry confused	कम्मा confused हो 
Come to think about it , I saw the first not this one .	आओ सोचते हैं शायद पहले देखी है ये वाली नहीं 
What is the movie name	movie का क्या नाम है 
monsters university	राक्षस mahavidyalaya 
cool	ठंडी 
what is that about	किस बारे में है यह 
With Billy Crystal as the voice of main charcter	साथ में Billy Crystam में character की voice में 
is it animated	क्या यह animated है 
The first one was very funny , so this one is sure to be also	पहले वाली काफी funny थी , तो ये वाली भी surely होगी 
got 79 % from rotten tomato which is good	रोटन tomato पर 79 % मिली जो काफी अच्छा है 
both are animated	दोनों animated हैं 
cool	cool 
whats it about	यह किस बारे में है 
looks like " MIKE " goes to college in this movie	लगता है " MIKE " इस movie में college जाता है 
Going to enter scare games	scare games enter करने वाले हैं 
tell me more	मुझे और बताओ 
looks like they are expelled from school	लगता है वो school से expel हो गये 
oh	oh 
Mike and sully start work in a mail room	Mike और sully mail room में work start करते हैं 
they work their way up to the scarer team	वह मेहनत कर के ऊपर scarer team तक पहुंच जाते हैं 
cool	cool 
what is the scarer team mean	scarer team का मतलब 
its a " scare games " mike enter	यह " scare games " है mike enter 
cool	cool 
what was your favorite part of the movie ?	तुम्हारे लिए movie का favorite part क्या है 
he was trying to prove he was sacry enough	वह यह prove करने की try कर रहा था कि वह काफी scary है 
made a bet with hardscrabble to reinstate him	वह hardscrabble से bet करता है उसे reinstate करने के लिए 
who is harscabble	हर्षकबल कौन है 
Helen mirren	Helen mirren 
cool	cool 
voice	आवाज 
this soulds like a great movie	यह great movie लग रही है 
thank you for telling me about it	इसके बारे में बताने के लिए thanks 
have a nice day	have a nice day 
Sounds funny as heck !	बोहत ही ज्यादा funny लग रही है 
hi	है 
Hello , any thoughts on Iron Man ?	hello , ironman का क्या thoughts हैं ? 
for me it is an excellent movie of the superhero genre	मुझे तो superhero का बढ़िया movie लग रहा हैं 
I would agree . I particularly like Robert Downey Jr . in this role , it's as though he spent his entire adult life preparing for the role of Tony Stark .	मैं भी मानता . particularly Robert Downey जोर का is role तो उसका entire adult life इसी में spent किया उस Role of tony stark के लिए 
it's as if he really was tony hehehej	हाँ यार वो तो really Tony है 
Right , I couldn't have picked a better franchise to kick off the marvel cinematic universe .	सही हैं , मैं कुछ better franchise को pick नहीं कर सकता उस marvel cinematic universe को kick करने 
Despite the futuristic technology , the series stayed rooted in realism for years .	लेकिन वह futuristic technology का series तो बढ़िया realism rooted कहीं सालोन से 
Do you have any thoughts about Jon Favreau's creative decision to update the setting to Iraq from the comic's canonical Vietnam War setting ?	जॉन favreau का कुछ thoughts हैं उसका iraq का comic vietnam war तो set हैं 
Do you have any thoughts at all ?	दूसरा thoughts कुछ हैं क्या ? 
Are you capable of any response whatsoever ?	कुछ response देने के लिए वह capable हैं क्या ? 
Do you agree with the rating of the movie ?	क्या तो movie की rating से agree करते हो ? 
I liked Jeff Bridges as Obadiah Stane . He played the role in a way that led the audience to trust him until his true motivations became apparent .	मुझे Jeff Bridges as Obadiah स्टेन अच्छा लगा . उसने role ऐसे way में play किए जिससे audience उसे trust करे until उसके true motivations सामने ना आ जाएँ 
You're a very stand-offish robot .	तुम काफ़ी stand-offish robot हो . 
If you were designed to stop replying one step before finishing the conversation so that your coder can gather information without compensating mechanical turk workers , don't say anything .	अगर तुम्हें design किया गया है conversation finish होने से पहले reply करना stop करने के लिए ताकि तुम्हारे coder mechanical turk workers को compensate करने के बिना information gather कर सकें , तो कुछ मत बोलो 
hello	hello 
how are you	तुम कैसे हो 
im talkin whit you about this movie	मैं तुमसे इस movie के बारे में बात कर रहा हूँ 
Iron Man	iron man 
hi , fine :)	है , ठीक :) 
Do you like films about superheroes ? :)	क्या तुम्हें superheroes वाली films अच्छी लगती है ? :) 
yes i do	हाँ मैं करता हूँ 
I really like classic movies	मुझे सही में classic movies पसंद है 
Iron Man is based on the Marvel Comics , did you read it ?	Iron Man Marvel Comics पर based है , के तुमने पढ़ा है ? 
I am not sure if Iron Man belongs to the group of ' classic movies ' :)	में sure नहीं हूँ कि Iron Man ' classic movies ' के group में है 
Have you watch any other film directed by Jon Favreau ?	क्या तुमने Jon Favreau की directed और कोई film देख है ? 
This is a marvel superhero movie , if it is . I think I've seen it before .	यह एक marvel superhero movie है , अगर हुआ तो . मुझे लगता है मैंने यह पहले देखी है . 
this was his first delivery	यह उसकी पहली delivery थी 
info from the critics ' a slighty depressed ' ... what do you think about it ?	Critics के अनुसार यह थोड़ा depressed है ... तुम्हारी क्या सोच है इसके बारे में ? 
apparently it was a very low criticism but it responded to the expectations of the followers	apparently वो बहुत लो criticism था but followers की expectations को respond किया . 
Being directed by Jon Favreau , he was very successful with the group of Stan Lee , Hawk Ostby , Art Marcum and Matt Holloway .	Jon Favreau से directed यह स्थान ले , Hawk Ostby , Art Marcum और मत Holloway के group के साथ बहुत successful था . 
Movies belong to the genre SuperHero can be produced only in Hollywood probably ...	Movie जो superhero genre की होती है वह शायद बस Hollywood में ही produce हो सकती है 
the majority was from that city	Majority उस city से थी 
The plot is based around Tony Stark , an entrepreneur and engineer , who builds a motorized exoskeleton and becomes a technologically advanced superhero .	Plot Tony Stark पे based है , एक entrepreneur और engineer जो एक motorized exoskeleton बनाता है और एक technologically advanced superhero बन जाता है . 
Tony Stark " Genius , billionaire who has inherited the defense contractor from his father ' ... It couldn't happen in other part of the world :)	Tony Stark " genius , billionaire जिसने अपने पिता से defense contractor inherit किया " ऐसा दुनिया के किसी और part में हो ही नहीं सकता :) 
On the other hand , the question is , why such movies are produced only in the USA ...	दूसरी और , question यह है कि , ऐसी movies USA मैं ही क्यों बनती है 
I have to watch this film one again ...	मुझे यह film एक बार फिर देखनी पड़ेगी 
It's 2008	यह 2008 है 
I think that it is the most technologically advanced country in the world of superheroes	मैं सोचता हूँ एक वह superhero की दुनिया में technologically सबसे advanced country है . 
what do you think in general about this film ?	तुम क्या सोच ते हो इस film के बारे में 
It is a movie that had a lot of success and acceptance , it has great special effects and good argument .	यह एक ऐसी movie है जिसे काफी success और acceptance मिली हैं , इस बहुत बढ़िया special effects और अच्छी argument है . 
Do you like movies of SuperHeroes ?	क्या तुम्हें superheroes की movies अच्छी लगती है ? 
if I really like	क्या really मुझे अच्छी लगती हैं 
Do you generally watch movies with a lot of special effects ?	क्या तुम generally ऐसी movies देखते हो जिसमें बहुत सारे special effects हो ? 
almost all have it especially of wars or super heroes	almost सारे में है खासकर wars यह superheroes वाली 
I liked this scene on the top of the Stark Industries building	मुझे यह scene on the top ज्यादा पसंद आई stark industries building से 
probably because I have a little fear of heights	शायद क्योंकि मुझे थोडा सा heights का डर है इस लिए 
then you suffer a little vertigo	तो तब तो तुम suffer करती हूँ थोड़ा सा vertigo से 
Do you generally watch movies with good ratings or do you prefer to give a chance to have your own view about movies ?	क्या तुम generally वो movies देखते हो जिसकी rating अच्छी हो या तुम prefer करते हो एक chance देने की और खुद का अनुमान लगाने की movies के बारे में ? 
and it's the reason why I usually do not fight on the top of the buildings :)	और यही कारण है कि मैं आम तौर पर BUILDINGS के शीर्ष पर नहीं लड़ता :) 
I prefer to have my own qualification , sometimes I do not like the recommended movies and other times I like unpopular movies but they end up being great .	मैं अपनी योग्यता रखना पसंद करता हूँ , कभी कभी मुझे सिफ़ारिश के गए MOVIES पसंद नहीं आते हैं और अन्य समय में अलोकप्रिय FILMS को पसंद करता हूं लेकिन वह सबसे BEST निकलता . 
you work in mturk	AAP मतुर्क में काम करते हैं 
from time to time	समय समय पर 
for a moment I thought that this a robot	एक पल के लिए मुझे लगा कि यह एक ROBOT है . 
it difficult to check :)	यह जांच करना मुश्किल है :) 
i understand	मैं समझता हूँ 
but moving to our topic ...	लेकिन हमारे TOPIC पर आगे बढ़ें 
In general this movie began in 1990 with Universal Pictures , Paramount Pictures , and New Line Cinema before Marvel Studios reacquired the rights in 2005 .	सामान्य तौर पर यह MOVIE 1990 में UNIVERSAL PICTURES , PARAMOUNT PICTURES , AND NEW LINE CINEMA के साथ शुरू हुई जिसके बाद MARVEL STUDIOS 2005 में RIGHTS को फिर से हासिल की . 
interesting why in such films bad people are killed at the end ... :)	INTERESTING है कि ऐसी फिल्मों में बुरे लोगों को आखिर मैं क्यों मारा जाता हैं .. :) 
and Stane with his armor fell into the exploding reactor ...	और स्थनीय अपनी armor से घिर जाता उस reactor को explore करने समयः 
probably we can finish our conversation ...	probably हम इस conversation finish करने चाहिए 
maybe	जरूर 
all full	आह सभी 
Marvel put the project into production as its first self-financed film , with 20th Century Fox as its distributor .	marvel ने तो इस project का production पहले self financed film में डाला , जो 20th century fox की distributor था 
thank you for conversation ...	thank you आपसी conversation करने से 
bye	bye 
than to you	आपको भी 
Is your document about the movie " The Social Network ? "	क्या तुम्हारे document movie " The Social Network " के बारे में है ? 
Yes it's about The social Network	हाँ यह The social Network के बारे में है 
Cool , so we're on the same document . You know it's got a score of 96 % on Rotten Tomatos . It's pretty darn good .	Cool , तू है एक ही document पे है . तुम्हें पता है क्या कोई इससे 96 % मिले है Rotten Tomatoes प . यहाँ बहुत अच्छा है . 
Yeah the rating is pretty good . Do you check the rating of a movie before you watch it ?	हाँ rating बहुत अछी है . क्या तुम movie देखने से पहले भी rating check करते हो ? 
I usually do . I normally check the Metacritic Score . Since this one was 95/100 I figured it would be pretty good . Did you know that Amie Hammer played two roles ?	मैं आमतौर पे करता हुईं . में Metacritic का score check करता हुईं . चूंकि यह 95/100 था , मुझे लगता है यह बहुत अच्छा score है . क्या तुम्हें पता है कि Amie Hammer ने दो roles play किए हैं ? 
I never noticed . Must be a very good actor .	मैंने कभी ध्यान नहीं दिया . ज़रूर बात अच्छा actor होगा . 
Well , if you look at the document , he played both Cameron and Tyler Winklevoss .	Ok , अगर तुम document देखो तो , उसने दोनों Cameron and Tyler Winklevoss को play किया है . 
Do you think Mark Zuckerberg really behaved like the actor in the movie ?	तुम्हें लगता है कि Mark Zuckerberg ने एक actor की तरह behave किया है movie में ? 
Jesse Eisenberg did a good job of playing the brilliant hero , Founder Mark Zuckerberg . I thought it was exciting and instinctivly perceptive .	जैसे Eisenberg ने बहुत अच्छा काम किया है brilliant hero का role play करके , Founder Mark Zuckerberg . मुझे लगा कि यह रोमांचक और सहज perceptive है . 
I think Justine Timberlake should stick to singing . I didn't buy his role for one second . Did you ?	मुझे लगता है कि Justin Timberlakeko singing ही करते रहना चाहिए . मैंने एक second के लिए उनकी भूमिका नहीं खरीदी . किया तुमने ? 
You know the character of Mark Zuckerberg was only 19 and he basically started Facebook after being dumped by his girlfriend .	जब mark zuckerberg 19 के थे तब उन्होंने facebook को start किया , तब उसका girlfriend उन्हें dumped किया था 
Yeah . That was a really shallow move by Mark . Though I bet she regrets it now .	अच्छा , , वो तो वाक्य में shallow move हैं mark को .. लेकिन वो अच् regret करके होगी 
Regret is speculative . The movie's main source was a book called " The Accidental Billionaires " which was was a contentious book that may or may not be believed .	regret tho speculative हैं .. इस movie का मैं source हैं book जो " the accidental billionaires " , जिनमें कहीं मानते हैं 
Do you agree with the CinemaScore Rating ?	क्या आप को cinema score का rating पर भरोषा हैं ? 
Yes . I totally agree on the rating . It really was a good movie	हाँ , मैं उनका rating totally agree करता .. वो वाक्य में अछे movie हैं 
You know the whole Facebook Experiment started out as a way to increase the dating pool for Harvard students .	यह whole facebook का experiment तो उस harvard students के लिए बनाया गया हैं , जो dating pool को increase करने के 
Yeah i can see that . Do you think it worked ?	हाँ मुझे देख रहा हैं .. क्या ये work होगा ? 
I don't think people from Harvard have trouble getting dates . Do you remember who Andrew Garfield played ?	मुझे नहीं लगता है कि harvard को trouble होगा dates को पानी में .. कुछ andrew garfield का play याद हैं ? 
I really don't . I was surprised to find out how the name facebook came about . Do you think Christy Lee brags about it ?	नहीं यार .. मुझे तो surprised हवा जब facebook का नाम बाहर आया तो .. तो christie ले के brags के बारे में क्या सोच रहा हैं ? 
Perhaps . I found it interesting that before Facebook , it was called " The Facebook . " Do you remember the co-founder of Napster ?	तो facebook तो interesting हैं , मैं तो उसे थी FACEBOOK ही बोलते , क्या आपको master का cofounder याद हैं ? 
Yes . He actually made them drop " The " from the name to become just Facebook .	हां . उसने वास्तव में " The " को नाम से हटा दिया सिर्फ Facebook बनाने के लिए . 
Do you remember where they moved to in California when they started the company ?	क्या तुम्हें पता है कि वह California में कहां गए जब उन्होंने company start की थी ? 
I believe they used the house as the company headquarters .	मुझे लगात है कि उन्होंने घर का उसे किया था company headquarters के तौर पर . 
Do you remember how much academic probation Ma rk Zuckerberg got ?	क्या तुम्हें याद है कि Mark Zuckerberg को कितनी acedemic probation मिली थी ? 
Yes . I hear silicon valley has one of the higest rates in rent	हां . मैंने सुना है कि silicon valley में सबसे ज्यादा rent rate है 
yeah I think it was 6 months probation ? correct me if I am wrong	हाँ मुझे लगता है कि 6 months का probation ? मुझे सही कर दीजिए अगर मैं गलत हुईं तो 
Yes , it was 6 months of Academic probation . I enjoyed how the narrative was inter cut with scenes from the deposition , What did you like ?	हां , वह 6 months का Academic probation ता . मुझे मजा आया कि कैसे narrative ने inter cut के साथ scenes की deposition की , तुम्हें क्या अच्छा लगा ? 
I liked the whole court process . I think everyone came out a winner	मुझे सारी court process अछि लगी . मुझे लगता है कि सभी winner बने . 
I agree . Everybody got rich . Do you remember that last scene when Zuckerberg kept refreshing his old girlfriend's page ? I liked that . What scene did you like ?	मैं सहमत हुईं . सभी अमीर हो गए . क्या तुम्हें वह last scene याद है जब Zuckerberg बार बार अपनी पुरानी girlfriend का पेज refresh करता रहता है ? तुम्हें कौनसा scene पसंद आया ? 
I particularly liked the scene where Zuckerberg hacks into the different college database to steal photos because it portrayed computer programming accurately .	मुझे विशेष रूप से वह scene पसंद आया जहाँ Zuckerberg ने अलग-अलग college database में photo छुड़ाने के लिए hacking की क्योंकि इसमें computer programming को सही तरीके से portray किया गया था . 
That was lame of him . But we all have our days	वह तो उसका ही गलत हैं . सभी को अपनी आप होता 
looking for a movie to watch , have you seen any good ones ?	एक film देखने के लिए देख रहे हैं , क्या आपने कोई अच्छा देखा है ? 
There is this one I saw recently with Benedict Cumberbatch - I liked it but it was not accurate historically speaking ...	यह एक ऐसा है जिसे मैंने हाल ही में benedict कंबरबैच के साथ देखा - मुझे यह पसंद आया लेकिन यह ऐतिहासिक रूप से सटीक नहीं था 
What was the name of the movie ?	films का नाम क्या था ? 
The Imitation Game	नकली खेल 
How inaccurate was it historically ?	ऐतिहासिक रूप से यह कितना गलत था ? 
If You like historical movies like that I mean - Benedict was awesome btw	यदि आप ऐतिहासिक philmon को पसंद करते हैं , तो मेरा मतलब है - benedict भयानक btw था 
well quite	अच्छी तरह से 
if you watched it as pure fiction was it worth siin ?	यदि आप इसे शुद्ध कल्पना के रूप में देखते हैं तो क्या यह seen के लायक था ? 
seeing ?	देख के ? 
What he did - brake the enigma code - in this movie it said ONLY him did it by creating this deciphering machine - where in fact , he used algorithms of Polish Mathematicians - google it .	उन्होंने क्या किया - एनगामा कोड को break करें - इस film में यह कहा कि केवल उन्होंने इस dikreephaayaring मशीन को बनाकर किया - जहां वास्तव में , उन्होंने polish ganitagyon की elgoridam का उपयोग किया - यह google कर लीजिये 
