en,hinglish,label,hinglish_clean,label_encoded
The finish conversation button came up . Have a great afternoon !,खत्म वार्तालाप button आया ... आपका दोपहर अच्छा बीते !,positive,खत्म वार्तालाप button आया आपका दोपहर अच्छा बीते,2
You too .,आप भी,neutral,आप भी,1
Hello,नमस्ते,neutral,नमस्ते,1
hi,है,neutral,है,1
The imitation game is a great movie,imitation game बहुत अची movie है,neutral,imitation game बहुत अची movie है,1
Hey ! How's it going ?,है क्या हाल चाल हैं ?,neutral,है क्या हाल चाल हैं,1
How did you like Iron Man ?,are iron man को कैसे पसंद आया ?,neutral,are iron man को कैसे पसंद आया,1
Hi ! I like the movie,है .. मुझे इस movie को पसंद हैं,neutral,है मुझे इस movie को पसंद हैं,1
Did you like it ?,क्या आपको,neutral,क्या आपको,1
I thought it was fun too .,हाँ थोड़ा fun भी हैं यार,positive,हाँ थोड़ा fun भी हैं यार,2
What was your favorite character ?,तुम्हारे favorite character कौन था ?,positive,तुम्हारे favorite character कौन था,2
Ofcourse it is Tony,निश्चित रूप से वह Tony है,neutral,निश्चित रूप से वह tony है,1
He's hard to beat I must admit .,Use हराना मुश्किल है मैं यह मानता हूं .,negative,use हराना मुश्किल है मैं यह मानता हूं,0
What was your favorite character ?,तुम्हारे favorite character कौन था ?,positive,तुम्हारे favorite character कौन था,2
Probably Tony as well - he cracks me up with his deadpan humor .,Probably tony भी बहुत अच्छा है - उसने मुझे अपनी deadpan हमार से crack कर दिया,negative,probably tony भी बहुत अच्छा है उसने मुझे अपनी deadpan हमार से crack कर दिया,0
I actually think it's the humor that helps the movie work out .,मुझे actually लगता है कि वह humor ही था जिस से movie को work out करने में help मिली,neutral,मुझे actually लगता है कि वह humor ही था जिस से movie को work out करने में help मिली,1
Yes he has very good humor and acts with ease,हाँ उसके पास बहुत अच्छा humor है और वह बहुत ऐसे से work करता है,positive,हाँ उसके पास बहुत अच्छा humor है और वह बहुत ऐसे से work करता है,2
"What element of the movie did you prefer , besides the humor ?","Humor के अलावा , तुम movie का कौन सा element prefer करोगे ?",neutral,humor के अलावा तुम movie का कौन सा element prefer करोगे,1
Action sequences . I like the second movie out of all three parts,"Action sequences , मुझे तीनो parts में से second movie पसंद आई",neutral,action sequences मुझे तीनो parts में से second movie पसंद आई,1
First movie looks more like a documentary / war,पहली movie बहुत had तक documentary / war जैसी प्रतीत हुई,positive,पहली movie बहुत had तक documentary war जैसी प्रतीत हुई,2
"Yeah , the action sequence are pretty good . Love the flying suit !","हां , action sequence काफी अछे हैं . love उड़ने वाला suit .",positive,हां action sequence काफी अछे हैं love उड़ने वाला suit,2
Right . But it was a good way to establish the back story .,सही . पर यह पिछली story establish करने का अच्छा तरीका था,positive,सही पर यह पिछली story establish करने का अच्छा तरीका था,2
"second part is my favorite with all sports cars in action , upgraded suit","दूसरा part मेरे पसंदीदा हैं जिसमें sports cars action में है , upgraded suit है",positive,दूसरा part मेरे पसंदीदा हैं जिसमें sports cars action में है upgraded suit है,2
yeah,हां,neutral,हां,1
I know ! All those shiny toys .,मुझे पता है ! सब चमकने वाले खिलौनों के बारे में .,neutral,मुझे पता है सब चमकने वाले खिलौनों के बारे में,1
"Usually , I","जयदातर , में",negative,जयदातर में,0
"m not that big on gadgets like that , but t hey really make it work .","मैं उस तरह के gadgets पर उतना बड़ा नहीं हो , पर यह सच में काम करता है .",neutral,मैं उस तरह के gadgets पर उतना बड़ा नहीं हो पर यह सच में काम करता है,1
I think it's the sort of aesthetics they went for that works for me .,मुझे लगता है जो मेरे लिए काम करते हैं वह aesthetics की तरह है,neutral,मुझे लगता है जो मेरे लिए काम करते हैं वह aesthetics की तरह है,1
are you expecting another part ?,क्या तुम्हें लगता है दूसरा part आये गा ?,neutral,क्या तुम्हें लगता है दूसरा part आये गा,1
sequel,परिणाम,neutral,परिणाम,1
"Probably . They made so much money with those movies , why would they stop ?","शायद . उन्होंने उन movies से काफी पैसे बना लिए , वे क्यों रुकेंगे ?",positive,शायद उन्होंने उन movies से काफी पैसे बना लिए वे क्यों रुकेंगे,2
I think they made a billion dollars with those movies,मुझे लगता है उन्होंने उन movies से बीस billion dollars बना लिए,neutral,मुझे लगता है उन्होंने उन movies से बीस billion dollars बना लिए,1
yeah .,हां .,neutral,हां,1
What do you think of the flirt / love sub story with Gwyneth Paltrow ?,तुम Gwyneth Paltrow के साथ flirt / love सब story कह क्या सोचती हो ?,positive,तुम gwyneth paltrow के साथ flirt love सब story कह क्या सोचती हो,2
Honestly I don't remember that one .. remind me where exactly it happened,सच में मुझे वह याद नहीं .. मुझे याद करवाओ ये कहाँ हुई थी,positive,सच में मुझे वह याद नहीं मुझे याद करवाओ ये कहाँ हुई थी,2
I think toward the end . I thought it was unnecessary .,मैं सचेती हो अंत की तरफ . मुझे लगता है यह जरूरी नहीं .,negative,मैं सचेती हो अंत की तरफ मुझे लगता है यह जरूरी नहीं,0
But you can see the love story coming from the start .,लेकिन तुम उस प्रेम कहानी को देख सकते हो जो शुरू से शुरू हुई .,positive,लेकिन तुम उस प्रेम कहानी को देख सकते हो जो शुरू से शुरू हुई,2
I find it annoying when they feel they have to add love stories to everything .,जब उनको लगता है कि उन्हें हर चीज में प्रेम कहानी डाल देनी चाइये तब मुझे चिढ़ होती है .,negative,जब उनको लगता है कि उन्हें हर चीज में प्रेम कहानी डाल देनी चाइये तब मुझे चिढ़ होती है,0
But her character still works besides the flirting .,पर उसका चरित्र flirting के बाद भी चलेगा .,neutral,पर उसका चरित्र flirting के बाद भी चलेगा,1
See that's why I only remember war thing,देखो इसलिए मुझे सिर्फ़ लड़ाई कई चीजें याद है,neutral,देखो इसलिए मुझे सिर्फ़ लड़ाई कई चीजें याद है,1
"I know - it's more fun to watch , more action-oriented .",मुझे पता है action-oriented देखने में ज्यादा मज़ा आता है,positive,मुझे पता है actionoriented देखने में ज्यादा मज़ा आता है,2
What about the technology in the movies - do you like the way it's presented ?,movies की technology के बारे में क्या - क्या तुम्हें पसंद है जिस तरह से वह present किये जाते हैं ?,neutral,movies की technology के बारे में क्या क्या तुम्हें पसंद है जिस तरह से वह present किये जाते हैं,1
I loved the electro magnet in his heart .,मुझे उसके दिल पे लगी electro magnet से प्यार था,positive,मुझे उसके दिल पे लगी electro magnet से प्यार था,2
"oh by the way , I love his attitude in serious fights , humor with music","oh वैसे भी , मुझे पसंद है उसका attitude serious fights में , humor music के साथ",neutral,oh वैसे भी मुझे पसंद है उसका attitude serious fights में humor music के साथ,1
I know ! He's one of the best actors for super hero movies because he doesn't take himself too seriously .,"मुझे पता है , वह super hero movies में सबसे अच्छा actor है क्योंकि वह अपने आप को seriously नहीं लिटा .",positive,मुझे पता है वह super hero movies में सबसे अच्छा actor है क्योंकि वह अपने आप को seriously नहीं लिटा,2
Gotta go now - fun talking with you !,gotta go now - तुमसे बात करने में मज़ा आया !,positive,gotta go now तुमसे बात करने में मज़ा आया,2
Hello,Hello,neutral,hello,1
"Hi , I just saw a movie","है , मैंने just एक movie देखी",neutral,है मैंने just एक movie देखी,1
Oh what movie ?,Oh कौनसी movie ?,neutral,oh कौनसी movie,1
Mean Girls starring Lindsay Lohan,Mean Girls जिसमें Lindsay Lohan star करती है,negative,mean girls जिसमें lindsay lohan star करती है,0
Was it good ?,क्या वह अच्छी थी ?,positive,क्या वह अच्छी थी,2
"Well , I love High School movies for some reason . But this was exceptional .",Well कुछ reason के लिए मुझे High School movies अच्छी लगती है . But यह तो exceptional थी .,positive,well कुछ reason के लिए मुझे high school movies अच्छी लगती है but यह तो exceptional थी,2
So it was a comedy ?,तो क्या वह एक comedy थी ?,neutral,तो क्या वह एक comedy थी,1
Did it win any awards ?,क्या उसने कोई awards जीते ?,positive,क्या उसने कोई awards जीते,2
"Yeah . Hilarious . It was written by Tina Fey , not to be mistaken for Sarah Palin .",हां . Hilarious . टीना Fey ने लिखा है Sarah पालिन के लिए mistake न करना,positive,हां hilarious टीना fey ने लिखा है sarah पालिन के लिए mistake न करना,2
"Oh I love comedies , who else was in the movie ?",Oh मुझे comedies बहुत पसंद है और कौन था उस movie में ?,positive,oh मुझे comedies बहुत पसंद है और कौन था उस movie में,2
"i didn't recognize anyone else . Lindsay's always in the news , so I know her .","मुझे और कोई पहचान में नहीं आया . Lindsay हमेशा news में रहती है , तो वह मुझे पता है",neutral,मुझे और कोई पहचान में नहीं आया lindsay हमेशा news में रहती है तो वह मुझे पता है,1
Yeah she's in a lot of good movies,हाँ वो काफी अछी movies में है,positive,हाँ वो काफी अछी movies में है,2
"I dunno about awards , but I read that the critics loved it .","Awards का तो पता नहीं , but मैं पढ़ा है कि critics को काफी पसंद आई .",positive,awards का तो पता नहीं but मैं पढ़ा है कि critics को काफी पसंद आई,2
"Nice , I'm looking for a good movie to watch , do you recommend this one ?","Nice , मैं एक अच्छी movie ढूंढ रहा हूँ देखने के लिए , क्या तुम इस recommend करोगे ?",positive,nice मैं एक अच्छी movie ढूंढ रहा हूँ देखने के लिए क्या तुम इस recommend करोगे,2
"Yeah , but she's also famous for real life stuff ... wild personal life . Sounds like she'll be POTUS one day","हाँ but वह real life के लिए भी famous है , wild personal life . लगता है वह एक दिन पोटास बनेगी .",positive,हाँ but वह real life के लिए भी famous है wild personal life लगता है वह एक दिन पोटास बनेगी,2
"I'd recommend it . Besides being a teen movie , its a great conversational flick",मैं तो recommend करूंगा . तीन movie होने के साथ साथ बहुत अछी conversational movie है .,positive,मैं तो recommend करूंगा तीन movie होने के साथ साथ बहुत अछी conversational movie है,2
she seems just like all the other young actresses,वह तो सभी young actress type की लगती है,neutral,वह तो सभी young actress type की लगती है,1
so is it suitable to watch with children do you think ?,तो क्या तुम्हें लगता है ये movie बच्चों के साथ देखने के लिए ठीक है ?,positive,तो क्या तुम्हें लगता है ये movie बच्चों के साथ देखने के लिए ठीक है,2
or do you think it'd be better for a date night movie,या फिर यह date night movie के हिसाब से better है ?,positive,या फिर यह date night movie के हिसाब से better है,2
"There's some dark comedy involved . At one point , one of the Mean Girls is struck by a bus . So more date night than family one .",थोड़ी dark comedy involved है . एक point में Mean Girls में से एक को बस टोक देती है . तो family night से ज्यादा Date night के लिए है .,neutral,थोड़ी dark comedy involved है एक point में mean girls में से एक को बस टोक देती है तो family night से ज्यादा date night के लिए है,1
oh that sounds traumatic,"oh , जो traumatic लगता है",neutral,oh जो traumatic लगता है,1
are there any scary parts ?,क्या कोई scary parts हिस्से हैं ?,negative,क्या कोई scary parts हिस्से हैं,0
i'm a total wuss,मेह total weak है,neutral,मेह total weak है,1
"Regarding awards , it is listed by Rotten Tomatoes as one of the Top 50 Teen Comedies .","Puraskaaron के संबंध में , इस top 50 तीन comedies में से एक के रूप में rotten tomatoes द्वारा सूचीबद्ध किया गया है .",positive,puraskaaron के संबंध में इस top तीन comedies में से एक के रूप में rotten tomatoes द्वारा सूचीबद्ध किया गया है,2
No scary parts . Don't worry .,कोई डरावना हिस्सा नहीं . चिंता मत करो,positive,कोई डरावना हिस्सा नहीं चिंता मत करो,2
wow so it should be a good time then,वह तो यह एक अच्छा समय होना चाहिए,positive,वह तो यह एक अच्छा समय होना चाहिए,2
is there anything else i should know ?,किया और कुछ है जो मुझे जानना चाहिए ?,neutral,किया और कुछ है जो मुझे जानना चाहिए,1
i'm not a fan of gross out humor,मैं शक्ल हास्य का प्रशंसक नहीं हूँ,neutral,मैं शक्ल हास्य का प्रशंसक नहीं हूँ,1
"Yeah , its an intelligent take on the genre . Seems to kinda make fun of it too ... ends with the Prom ... though not like Carrie fyi , since ur a self-described wuss .","हां , इसके intelligent genre पर है . थोड़ा लगता है कि यह भी मजेदार है ... prom के साथ समाप्त होता है ... हालांकि carrie फी तरह नहीं , क्योंकि और एक वर्णित weak है .",positive,हां इसके intelligent genre पर है थोड़ा लगता है कि यह भी मजेदार है prom के साथ समाप्त होता है हालांकि carrie फी तरह नहीं क्योंकि और एक वर्णित weak है,2
"No , no gross-out humor .","नहीं , कोई शक्ल हास्य नहीं .",neutral,नहीं कोई शक्ल हास्य नहीं,1
Here's what's interesting . It was based on a non-fiction book,क्या interesting है कि वह एक no-fiction book पर based है .,positive,क्या interesting है कि वह एक nofiction book पर based है,2
oh i love movies based on books,oh मुझे books पर based movie पसंद है,positive,oh मुझे books पर based movie पसंद है,2
It was based on a book that studied social cliques in high school and their psychological effects on girls . So Tina Fey took that and made it into a comedy . Very unique .,यह एक book पर based है जिसमें high school में girls के ऊपर psychological effect पर study की है इसलिए टीना ने ले लिया और comedy बना दी भूत ही unique है,positive,यह एक book पर based है जिसमें high school में girls के ऊपर psychological effect पर study की है इसलिए टीना ने ले लिया और comedy बना दी भूत ही unique है,2
sounds interesting,दिलचस्प लग रही है,positive,दिलचस्प लग रही है,2
Hello .,नमस्ते,neutral,नमस्ते,1
"Hi , I think you should watch LaLa Land . It sounds like it is an amazing movie","हाय , मुझे लगता है कि आपको लाल paine देखना चाहिए . ऐसा लगता है कि यह एक अद्भुत films है",positive,हाय मुझे लगता है कि आपको लाल paine देखना चाहिए ऐसा लगता है कि यह एक अद्भुत films है,2
Who stars in the movie ?,movie में कौन star है,neutral,movie में कौन star है,1
"Ryan Gosling , Emma stone , and John Legend","Ryan Gosling , Emma stone , और John Legend",neutral,ryan gosling emma stone और john legend,1
"I like Ryan Gosling . He is a good actor , but I heard that it was a musical . Is that correct ?","मुझे Ryan Gosling पसंद है . वो अच्छा actor है , लेकिन मैंने सुना है कि वह musical था . क्या यह सही है ?",positive,मुझे ryan gosling पसंद है वो अच्छा actor है लेकिन मैंने सुना है कि वह musical था क्या यह सही है,2
"Yes , it is a musical romatic comedy ! It has the best off all the things that make you feel good ! Romance , and comedy .","हां , वह musical romantic comedy है . इसमें वह सब कुछ है जो आप को अच्छा महसूस कराएगा , romance और comedy .",positive,हां वह musical romantic comedy है इसमें वह सब कुछ है जो आप को अच्छा महसूस कराएगा romance और comedy,2
"I cannot imagine Ryan Gosling in a musical , but I guess it could work .","में Ryan Gosling को musical में imagine नहीं कर सकता , लेकिन शायद यह चलेगा",neutral,में ryan gosling को musical में imagine नहीं कर सकता लेकिन शायद यह चलेगा,1
Where does the movie take place ?,movie कहाँ बनी है,neutral,movie कहाँ बनी है,1
"He plays as the Jazz pianist , and he falls in love with Emma Stone . It takes place in Los Angeles .",वह Jazz pianist बना है और उसको Emma Stone से मोहब्बत होजाती है . ye Los Angeles में होता है,positive,वह jazz pianist बना है और उसको emma stone से मोहब्बत होजाती है ye los angeles में होता है,2
Is Emma Stone playing an artist also ?,क्या Emma Stone भी artist play कर रही है ?,neutral,क्या emma stone भी artist play कर रही है,1
She is a aspiting actress in this film . They are both pursuing their dreams .,"वह film में aspiring actress हैं , दोनों अपने ख्वाब pursue कर रहे हैं",neutral,वह film में aspiring actress हैं दोनों अपने ख्वाब pursue कर रहे हैं,1
What part does John Legend play ?,John Legend कौनसा part play कर रहा है ?,neutral,john legend कौनसा part play कर रहा है,1
"I am not sure what part he pays . In the first part Ryan Gosling is at a party and he plays a cover of I Ran ( So far Away ) , he feels like the song is an isult for a serious musician","मुझे याद नहीं कि वह क्या part में पे कर होगा . पहले part में तो Ryan Gosling party में थे और I Ran को play कर रहे थे , लगता था कि वह song किसी serious musician को insult कर रहे हैं",neutral,मुझे याद नहीं कि वह क्या part में पे कर होगा पहले part में तो ryan gosling party में थे और i ran को play कर रहे थे लगता था कि वह song किसी serious musician को insult कर रहे हैं,1
What is the time period of the movie ? Is it a modern story ?,किस time period का movie है यार ? Modern story हैं क्या ?,positive,किस time period का movie है यार modern story हैं क्या,2
Yes I think it is modern time period,हां यार ये तो modern time period की होगा,positive,हां यार ये तो modern time period की होगा,2
Have you seen the movie ?,क्या तू इस movie को देखा क्या ?,neutral,क्या तू इस movie को देखा क्या,1
"No I have not seen it yet , I want to though . I want to know if they stay together or they have a struggle with their relationship","नहीं यार , बस सोच रहा हूं कि देखें . मुझे यहाँ पता चलना है कि अगर वह दोनों मिल जाते या आपस में struggle करते उनका relationship",neutral,नहीं यार बस सोच रहा हूं कि देखें मुझे यहाँ पता चलना है कि अगर वह दोनों मिल जाते या आपस में struggle करते उनका relationship,1
Relationships are tough . I wonder how the two characters handle theirs .,Relationship तो tough है यार . में तो aacharya हुवा कि वो दोनों कैसे यह handle करते,negative,relationship तो tough है यार में तो aacharya हुवा कि वो दोनों कैसे यह handle करते,0
"Emma who plays Mia , writes her own one women play . That sound interesting ! Ryan who is playing Sebastian is performing regualry at a club and they move in together . I am thinking they sound like a fun couple .",Emma जो मैं का role play किया वह अपनी आप ही यक women को play किया . वह तो बड़ा interesting है ! Ryan जो Sebastian का role play किया वह regularly यक club में perform कर रहे थे और दोनों move किया . मुझे लगता हैं कि दोनों fun couple हैं .,positive,emma जो मैं का role play किया वह अपनी आप ही यक women को play किया वह तो बड़ा interesting है ryan जो sebastian का role play किया वह regularly यक club में perform कर रहे थे और दोनों move किया मुझे लगता हैं कि दोनों fun couple हैं,2
Do you know what the play is about ?,आप को पता हैं कि यह play कौनसा बारे में हैं ?,neutral,आप को पता हैं कि यह play कौनसा बारे में हैं,1
"No , sadly I do not know what it is about . I do know that Sebastian does not enjoy the music his band plays in","नहीं यार , sadly मुझे इसके बारे में कुछ पता नहीं . लेकिन यह तो पता कि sebastian को उसका music बैंड का play बिल्कुल पसंद नहीं आया",neutral,नहीं यार sadly मुझे इसके बारे में कुछ पता नहीं लेकिन यह तो पता कि sebastian को उसका music बैंड का play बिल्कुल पसंद नहीं आया,1
Is there alot of dancing also ?,क्या कहीं dancing भी हैं क्या ?,neutral,क्या कहीं dancing भी हैं क्या,1
"I am not sure on that , but I would think there is . Sounds like it is filled with music ! I love a good musical","मैं उस पर sure नहीं हूँ , but मुझे लगता है कि वंहा hai . प्रतीत होता है जैसे यह music से भरा हुआ है ! मुझे good musical से प्यार है",positive,मैं उस पर sure नहीं हूँ but मुझे लगता है कि वंहा hai प्रतीत होता है जैसे यह music से भरा हुआ है मुझे good musical से प्यार है,2
"I do too , if it is done well .","मैं भी करता हूँ , if इसे अच्छे से किया जाए .",neutral,मैं भी करता हूँ if इसे अच्छे से किया जाए,1
Does Emma Stone sing as well ?,क्या Emma stone भी अच्छा सिंह कर सकती है ?,neutral,क्या emma stone भी अच्छा सिंह कर सकती है,1
When their band has the first tour Mis and Sebastian get into an argument ! He thinks she wants him to be unsuccessful,"जब उनके बैंड का first tour था , मिस और Sebastian argument में पड़ गए ! Use लगता है कि वह उसे unsuccessful करना चाहती है .",positive,जब उनके बैंड का first tour था मिस और sebastian argument में पड़ गए use लगता है कि वह उसे unsuccessful करना चाहती है,2
That doesn't bode well for the relationship .,यह relanship के लिए अच्छी bode नहीं है .,neutral,यह relanship के लिए अच्छी bode नहीं है,1
"I think she is just an aspiring actress , not a singer . He misses her first play where noone shows up , and she owes the theater money and moves to Nevada since she can not pay . Getting very interesting !","मुझे लगता है वह एक aspiring actress हैं , न कोई singer . वो अपना first play miss करती है जंहा कोई देखने वाला नहीं होगा था , और वह theater की money को owes करके Nevada चली जाती है क्योंकि वह पे नहीं कर सकती . यह बड़ा interesting हो गया .",positive,मुझे लगता है वह एक aspiring actress हैं न कोई singer वो अपना first play miss करती है जंहा कोई देखने वाला नहीं होगा था और वह theater की money को owes करके nevada चली जाती है क्योंकि वह पे नहीं कर सकती यह बड़ा interesting हो गया,2
Does he go with her to Nevada ?,क्या वह उसके साथ Nevada गया ?,neutral,क्या वह उसके साथ nevada गया,1
"No , she is mad and not forgiving him for missing her play . Her first play sounds like it was a bust","No , वह मेड थी और उसने उसे play को miss करने के लिए forgive नहीं किया . उसका first play ऐसा लगा जैसे वह bust हो गया हो .",negative,no वह मेड थी और उसने उसे play को miss करने के लिए forgive नहीं किया उसका first play ऐसा लगा जैसे वह bust हो गया हो,0
It sounds like it . Writing plays must be difficult . Sounds like she took it hard .,ऐसा लगता है कि वह अच्छा है . Play writing difficult होगा . ऐसा लगता है उसने use hard लिया है .,negative,ऐसा लगता है कि वह अच्छा है play writing difficult होगा ऐसा लगता है उसने use hard लिया है,0
"John Legend plays Keith , he is a band member . I bet hes a great bank member !","John Legend ने कीट का role play किया , वह एक बैंड member हैं . में bet करता हूं कि वह एक great bank member हैं .",positive,john legend ने कीट का role play किया वह एक बैंड member हैं में bet करता हूं कि वह एक great bank member हैं,2
I bet you are right .,मैं bet लगा सकता हुईं कि तुम सही हो .,positive,मैं bet लगा सकता हुईं कि तुम सही हो,2
I am sure she just did not have enough experience for the play writing and how to execute the play and promote it .,मैं sure हुईं कि उसे enough experience नहीं है play लिखने का और use execute और promote करने का .,positive,मैं sure हुईं कि उसे enough experience नहीं है play लिखने का और use execute और promote करने का,2
"Well , this sounds like an interesting movie . Thanks for all the information .","खैर , यह एक interesting movie लगती है . Thanks सभी information के लिए .",positive,खैर यह एक interesting movie लगती है thanks सभी information के लिए,2
I do hope you will see it . I want to see how the realtionship plays out during the film .,मैं hope करता हुईं कि तुम इससे देखोगे . में देखना चाहता हुईं कि relationship कैसे चलता है film में .,neutral,मैं hope करता हुईं कि तुम इससे देखोगे में देखना चाहता हुईं कि relationship कैसे चलता है film में,1
Sounds great .,बहुत बढ़िया लगता है .,positive,बहुत बढ़िया लगता है,2
The Inception was given a Rotten Tomatoes rating of 86 % .,The Inception को 86 % का Rotten Tomatoes rating given है .,neutral,the inception को का rotten tomatoes rating given है,1
"I see Leonardo DiCaprio starred in it as well as Joseph Gordon-Levitt , Ellen Page and Tom Hardy .","मैं देख Leonardo DiCaprio इसमें starred he as well as Joseph Gordon-Levitt , Ellen Page और Tom Hardy .",neutral,मैं देख leonardo dicaprio इसमें starred he as well as joseph gordonlevitt ellen page और tom hardy,1
86 % is a fair rating . I felt that this movie was excellent but somewhat ' heady ' . I could see why it isn't everyone's cup of tea . What rating would you give Inception ?,"86 % fair rating है . मुझे लगा कि यह movie excellent he but somewhat "" heady "" हे.में देख सकता हूँ कि क्यों यह everyone कहा cup of tea हे.तुम Inception को क्या rating देते ?",positive,fair rating है मुझे लगा कि यह movie excellent he but somewhat heady हेमें देख सकता हूँ कि क्यों यह everyone कहा cup of tea हेतुम inception को क्या rating देते,2
I agree . 86 % seems fair .,मैं agree हूँ . 86 % fair लगाती है .,positive,मैं agree हूँ fair लगाती है,2
There were some interesting characters in this movie . What character did you relate to most ?,Is movie में कुछ interesting character थे.किस character से तुम सबसे अधिक relate करती हो ?,positive,is movie में कुछ interesting character थेकिस character से तुम सबसे अधिक relate करती हो,2
Leonardo DiCaprio was compelling in the role of Dom . The Inception seems like a tailor fit role for DiCaprio . I enjoyed his performance but found that the plot was so inventive that I had a hard time relating directly to any of the characters . It seemed too divorced from reality .,"Leonardo DiCaprio , Dom के role में Compelling था.थे Inception का role लगता है कि DiCaprio के लिए tailor fit role था.मेने उसका performance enjoy किया but मुझे लगा कि role इतना inventive था कि किस भी character से directly relate करना मेरे लिए hard है .",positive,leonardo dicaprio dom के role में compelling थाथे inception का role लगता है कि dicaprio के लिए tailor fit role थामेने उसका performance enjoy किया but मुझे लगा कि role इतना inventive था कि किस भी character से directly relate करना मेरे लिए hard है,2
Did this movie make you ponder the origins of your own thoughts ?,क्या इस movie ने तुम्हें तुम्हारी सोच के बारे में सोचने पे मजबूर किया ?,positive,क्या इस movie ने तुम्हें तुम्हारी सोच के बारे में सोचने पे मजबूर किया,2
"Well , it was interesting , to say the least . The idea of planting something into another persons subconscious made me think for sure .","Well , कम बोलना interesting था . किसी दूसरे के subconscious में कुछ plant करने के idea ने मुझे sure कर दिया .",positive,well कम बोलना interesting था किसी दूसरे के subconscious में कुछ plant करने के idea ने मुझे sure कर दिया,2
"It was pretty "" out there "" .",बाहर बहुत सुंदर है .,positive,बाहर बहुत सुंदर है,2
Do you like scientific movies ?,क्या तुम्हें scientific movies हैं ?,neutral,क्या तुम्हें scientific movies हैं,1
"I adore them . The more "" out there "" the better .",I उनसे प्यार हो . बाहर बहुत better है .,positive,i उनसे प्यार हो बाहर बहुत better है,2
Did you notice the complexity of the dreamscapes in the movie ? I thought it was very inventive .,क्या तुमने movie में dreamscapes की complexity को notice किया ? मुझे लगा यहाँ बहुत inventive है .,positive,क्या तुमने movie में dreamscapes की complexity को notice किया मुझे लगा यहाँ बहुत inventive है,2
I'm having a hard time recalling some of the specifics . It's hard to believe this film is almost 10 years old already ! I do recall them growing increasingly more complex and dream like the deeper they went though .,मुझे कुछ specific याद नहीं आ रही है . यहां believe करना मुश्किल है कि यहां movie 10 साल पुरानी है ! मुझे याद आ रहा है कि यहां दिन ब दिन complex and dream like हो रही है .,neutral,मुझे कुछ specific याद नहीं आ रही है यहां believe करना मुश्किल है कि यहां movie साल पुरानी है मुझे याद आ रहा है कि यहां दिन ब दिन complex and dream like हो रही है,1
"Did you notice in each dream there was a "" kick "" ?",क्या तूने notice किया कि हर एक dream में एक kick है,neutral,क्या तूने notice किया कि हर एक dream में एक kick है,1
"I did , I loved it ! It was like a dreamy Rube Goldberg contraption .","मैंने किया , यहाँ मुझे पसंद है ! यहाँ ड्रेमी Rube Goldberg contraption की तरह है .",positive,मैंने किया यहाँ मुझे पसंद है यहाँ ड्रेमी rube goldberg contraption की तरह है,2
Can you imagine yourself in a similar scenario ? They must have had a tremendous amount of trust for each other . If anything went wrong they could have ended up in ' limbo ' .,क्या तुम अपने आप को same scenario में imagine कर सकते हो ? उनमें बहुत ज्यादा trust होना चाहिए . यदि कुछ भी wrong होता है तो वह लिमलबाय में खत्म हो सकता है,neutral,क्या तुम अपने आप को same scenario में imagine कर सकते हो उनमें बहुत ज्यादा trust होना चाहिए यदि कुछ भी wrong होता है तो वह लिमलबाय में खत्म हो सकता है,1
I couldn't imagine it . Sounds very risky . Especially if the dreamer dies in the dream before the sedative wears off .,मैं imagine भी नहीं सकता . वो तो बड़ी risky sound करता . e वह dreamer अपना dream में ही मर जाता उसका sedative wear करने के पहले ही,neutral,मैं imagine भी नहीं सकता वो तो बड़ी risky sound करता e वह dreamer अपना dream में ही मर जाता उसका sedative wear करने के पहले ही,1
"If the dreamer died and you end up in ' limbo ' , where do you think that is ? All of the extractors are living within that consciousness , what would become of them ? ( since if he dies , that consciousness will cease to exist . )",अगर dreamer मर गया तो limbo में end होते . कैसे ऐसे कर सकते ? सभी extractors इसी consciousness में ही जी रहे हैं . क्या यब सब बन बहायेंगे ?,neutral,अगर dreamer मर गया तो limbo में end होते कैसे ऐसे कर सकते सभी extractors इसी consciousness में ही जी रहे हैं क्या यब सब बन बहायेंगे,1
"Good question , and very thought provoking . In the movie they just went into limbo but I suppose the subconscious dreams would have to adjust to fit the new scenario . It would be scary to have the possibility of forgetting that you are in a dream at all . Do you think it would be worth the potential setback ?",अछे question काफी provoking thought हैं . इस movie में वो limbo के लिए गए हैं क्यों कि मैं subconscious dream पर इस scenario को नहीं मिल पाता . बहुत scary dream हैं . क्या आप को इस potential setback के बारे में क्या हाल चाल हैं,positive,अछे question काफी provoking thought हैं इस movie में वो limbo के लिए गए हैं क्यों कि मैं subconscious dream पर इस scenario को नहीं मिल पाता बहुत scary dream हैं क्या आप को इस potential setback के बारे में क्या हाल चाल हैं,2
